d,p,w
934,828,2
935,764,3
936,677,4
937,641,5
938,552,6
939,241,7
940,1,1
941,681,2
942,667,3
943,643,4
944,887,5
945,577,6
946,241,7
947,1,1
948,675,2
949,774,3
950,662,4
951,741,5
952,663,6
953,241,7
955,744,2
956,726,3
957,673,4
958,682,5
959,635,6
960,233,7
961,3,1
962,738,2
963,726,3
964,737,4
965,691,5
966,605,6
967,221,7
968,2,1
969,725,2
970,655,3
971,699,4
972,686,5
973,837,6
974,306,7
975,1,1
976,809,2
977,684,3
978,722,4
979,687,5
980,7,6
981,211,7
982,2,1
983,751,2
984,778,3
985,812,4
986,720,5
987,683,6
988,265,7
989,16,1
990,802,2
991,866,3
992,750,4
993,720,5
994,710,6
995,286,7
996,1,1
997,790,2
998,801,3
999,774,4
1000,733,5
1001,619,6
1002,304,7
1003,2,1
1004,782,2
1005,724,3
1006,734,4
1007,752,5
1008,673,6
1009,296,7
1011,726,2
1012,867,3
1013,722,4
1014,736,5
1015,6,6
1016,269,7
1017,3,1
1018,733,2
1019,832,3
1020,954,4
1021,833,5
1022,869,6
1023,420,7
1025,973,2
1026,1029,3
1027,957,4
1028,903,5
1029,851,6
1030,402,7
1031,2,1
1032,992,2
1033,907,3
1034,896,4
1035,892,5
1036,1,6
1037,352,7
1038,3,1
1039,1040,2
1040,902,3
1041,1052,4
1042,921,5
1043,949,6
1044,369,7
1045,1,1
1046,1027,2
1047,533,3
1048,1193,4
1049,24,5
1050,1010,6
1051,407,7
1052,1,1
1053,992,2
1054,568,3
1055,973,4
1056,1046,5
1057,910,6
1058,391,7
1059,1,1
1060,1063,2
1061,1071,3
1062,1073,4
1063,1013,5
1064,956,6
1065,396,7
1067,1098,2
1068,1167,3
